2022-11-6_14-27-9,980.45,20.02,53.35
2022-11-6_14-28-9,980.78,20.92,50.06
2022-11-6_14-29-9,980.97,15.61,53.80
2022-11-6_14-30-9,980.80,14.81,57.68
2022-11-6_14-31-10,980.85,14.11,61.75
2022-11-6_14-32-10,980.89,13.79,63.19
2022-11-6_14-33-10,980.87,13.62,64.84
2022-11-6_14-34-10,980.88,13.49,65.45
2022-11-6_14-35-10,981.01,13.46,64.85
2022-11-6_14-36-10,981.02,13.40,65.34
2022-11-6_14-37-10,981.13,13.40,65.96
2022-11-6_14-38-11,981.08,13.39,66.50
2022-11-6_14-39-11,981.15,13.36,66.06
2022-11-6_14-40-11,981.23,13.40,68.57
2022-11-6_14-41-11,981.15,13.41,66.99
2022-11-6_14-42-11,981.16,13.32,64.76
2022-11-6_14-43-11,981.07,13.29,65.84
2022-11-6_14-44-11,981.05,13.28,65.61
2022-11-6_14-45-12,981.14,13.26,67.80
2022-11-6_14-46-12,981.09,13.30,68.02
2022-11-6_14-47-12,981.18,13.32,67.24
2022-11-6_14-48-12,981.20,13.33,68.41
2022-11-6_14-49-12,981.28,13.33,67.05
2022-11-6_14-50-12,981.28,13.32,66.77
2022-11-6_14-51-12,981.37,13.32,66.32
2022-11-6_14-52-13,981.24,13.31,66.52
2022-11-6_14-53-13,981.24,13.31,67.52
2022-11-6_14-54-13,981.23,13.26,67.15
2022-11-6_14-55-13,981.25,13.26,67.48
2022-11-6_14-56-13,981.21,13.24,66.57
2022-11-6_14-57-13,981.29,13.24,66.86
2022-11-6_14-58-13,981.29,13.24,66.38
2022-11-6_14-59-14,981.38,13.24,68.54
2022-11-6_15-0-14,981.36,13.22,67.26
2022-11-6_15-1-14,981.36,13.22,65.94
2022-11-6_15-2-14,981.40,13.24,66.08
2022-11-6_15-3-14,981.38,13.24,65.87
2022-11-6_15-4-14,981.47,13.18,64.74
2022-11-6_15-5-14,981.45,13.17,64.18
2022-11-6_15-6-15,981.47,13.17,65.93
2022-11-6_15-7-15,981.64,13.16,65.06
2022-11-6_15-8-15,981.56,13.12,64.94
2022-11-6_15-9-15,981.62,13.14,64.35
2022-11-6_15-10-15,981.56,13.16,66.17
2022-11-6_15-11-15,981.58,13.17,65.23
2022-11-6_15-12-15,981.64,13.20,66.90
2022-11-6_15-13-15,981.60,13.19,64.84
2022-11-6_15-14-16,981.57,13.22,64.84
2022-11-6_15-15-16,981.48,13.23,65.70
2022-11-6_15-16-16,981.48,13.24,64.76
2022-11-6_15-17-16,981.40,13.24,65.33
2022-11-6_15-18-16,981.40,13.24,65.57
2022-11-6_15-19-16,981.34,13.22,65.56
2022-11-6_15-20-16,981.53,13.20,64.80
2022-11-6_15-21-17,981.56,13.17,64.18
2022-11-6_15-22-17,981.58,13.18,65.87
2022-11-6_15-23-17,981.70,13.18,65.35
2022-11-6_15-24-17,981.66,13.16,65.11
2022-11-6_15-25-17,981.79,13.18,64.26
2022-11-6_15-26-17,981.74,13.20,62.24
2022-11-6_15-27-18,981.83,13.19,63.27
2022-11-6_15-28-18,981.92,13.19,63.39
2022-11-6_15-29-18,981.85,13.20,61.01
2022-11-6_15-30-18,981.85,13.25,59.96
2022-11-6_15-31-18,981.78,13.31,59.49
2022-11-6_15-32-18,981.75,13.34,60.06
2022-11-6_15-33-18,981.67,13.32,61.28
2022-11-6_15-34-19,981.65,13.26,61.65
2022-11-6_15-35-19,981.63,13.25,62.42
2022-11-6_15-36-19,981.70,13.23,62.84
2022-11-6_15-37-19,981.74,13.21,63.24
2022-11-6_15-38-19,981.66,13.22,63.31
2022-11-6_15-39-19,981.68,13.18,63.45
2022-11-6_15-40-19,981.70,13.19,64.97
2022-11-6_15-41-20,981.69,13.12,64.58
2022-11-6_15-42-20,981.79,13.12,64.32
2022-11-6_15-43-20,981.94,13.14,62.10
2022-11-6_15-44-20,981.86,13.16,61.00
2022-11-6_15-45-20,981.86,13.16,63.04
2022-11-6_15-46-20,982.07,13.16,64.34
2022-11-6_15-47-20,982.09,13.17,60.15
2022-11-6_15-48-21,982.13,13.19,59.56
2022-11-6_15-49-21,982.07,13.16,57.06
2022-11-6_15-50-21,982.11,13.12,58.81
2022-11-6_15-51-21,982.11,13.12,58.40
2022-11-6_15-52-21,982.18,13.10,61.39
2022-11-6_15-53-21,982.25,13.08,56.51
2022-11-6_15-54-21,982.25,13.08,57.28
2022-11-6_15-55-22,982.22,13.12,57.92
2022-11-6_15-56-22,982.33,13.13,56.11
2022-11-6_15-57-22,982.33,13.12,56.69
2022-11-6_15-58-22,982.27,13.09,59.12
2022-11-6_15-59-22,982.29,13.06,57.98
2022-11-6_16-0-22,982.27,13.06,60.29
2022-11-6_16-1-22,982.38,13.05,59.08
2022-11-6_16-2-23,982.51,13.02,55.33
2022-11-6_16-3-23,982.42,13.03,54.81
2022-11-6_16-4-23,982.48,13.06,55.25
2022-11-6_16-5-23,982.44,13.08,56.93
2022-11-6_16-6-23,982.46,13.08,57.66
2022-11-6_16-7-23,982.48,13.09,58.92
2022-11-6_16-8-23,982.59,13.09,57.21
2022-11-6_16-9-24,982.54,13.12,59.14
2022-11-6_16-10-24,982.56,13.14,56.03
2022-11-6_16-11-24,982.58,13.14,52.54
2022-11-6_16-12-24,982.65,13.12,56.88
2022-11-6_16-13-24,982.54,13.13,59.12
